epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1269,0.99075,3.33474,1.12251,0.05192,0.51749,0.2392,0.17449,0.82125,3.1863,0.96342,0.000364887,0.000364887,0.000364887
2,128.135,0.93838,2.25936,1.06458,0.52682,0.57366,0.60132,0.46568,0.869,1.68842,1.04423,0.000726122,0.000726122,0.000726122
3,190.443,0.91855,1.55664,1.05644,0.75374,0.75582,0.77656,0.60021,0.82529,1.14217,1.02209,0.00107819,0.00107819,0.00107819
4,253.091,0.86708,1.19019,1.03794,0.80971,0.8073,0.86048,0.68312,0.72474,1.07969,0.99309,0.00106975,0.00106975,0.00106975
5,315.929,0.81262,1.03342,1.01408,0.87235,0.83122,0.90177,0.71701,0.69154,1.01932,0.97151,0.00105601,0.00105601,0.00105601
6,378.552,0.75774,0.90742,0.99268,0.91548,0.89406,0.94134,0.77877,0.63951,0.75305,0.95934,0.00104226,0.00104226,0.00104226
7,441.668,0.7166,0.80843,0.97198,0.96254,0.90487,0.96073,0.80005,0.6267,0.66096,0.93819,0.00102851,0.00102851,0.00102851
8,504.217,0.72456,0.80594,0.97272,0.96281,0.90963,0.96302,0.80546,0.63817,0.66881,0.93241,0.00101476,0.00101476,0.00101476
9,566.589,0.68808,0.74195,0.95918,0.97432,0.91987,0.97383,0.81989,0.62407,0.61971,0.92753,0.00100101,0.00100101,0.00100101
10,629.808,0.67914,0.69826,0.949,0.97297,0.93236,0.97721,0.82487,0.59045,0.60002,0.91642,0.000987262,0.000987262,0.000987262
11,692.376,0.66248,0.69983,0.95496,0.98164,0.93755,0.9779,0.8386,0.5649,0.59381,0.9088,0.000973514,0.000973514,0.000973514
12,755.502,0.66081,0.66884,0.93279,0.9826,0.94218,0.97709,0.83865,0.56176,0.58257,0.89749,0.000959765,0.000959765,0.000959765
